LibraPlates native arrow trace
native pass frame hits=1437 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1212,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=100,1388,16x16 | 1x stride=28  rect=100,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=107,1062,16x16
native pass frame hits=1473 1x stride=24  rect=0,0,16x16 | 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1212,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=100,1388,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1404,16x16
native pass frame hits=1410 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16 | 1x stride=28  rect=107,1062,16x16
native pass frame hits=1410 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16 | 1x stride=28  rect=107,1062,16x16
native pass frame hits=1411 1x stride=24  rect=0,0,16x16 | 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16
native pass frame hits=1411 1x stride=24  rect=0,0,16x16 | 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16
native pass frame hits=1410 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16 | 1x stride=28  rect=107,1062,16x16
native pass frame hits=1410 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16 | 1x stride=28  rect=107,1062,16x16
native pass frame hits=1411 1x stride=24  rect=0,0,16x16 | 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16
native pass frame hits=1411 1x stride=24  rect=0,0,16x16 | 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16
native pass frame hits=1410 1x stride=28  rect=100,1060,6x11 | 1x stride=28  rect=100,1062,16x16 | 1x stride=28  rect=100,1078,16x16 | 1x stride=28  rect=100,1094,16x16 | 1x stride=28  rect=100,1110,16x16 | 1x stride=28  rect=100,1126,16x16 | 1x stride=28  rect=100,1142,16x16 | 1x stride=28  rect=100,1158,16x16 | 1x stride=28  rect=100,1190,16x16 | 1x stride=28  rect=100,1228,16x16 | 1x stride=28  rect=100,1244,16x16 | 1x stride=28  rect=100,1260,16x16 | 1x stride=28  rect=100,1276,16x16 | 1x stride=28  rect=100,1292,16x16 | 1x stride=28  rect=100,1308,16x16 | 1x stride=28  rect=100,1324,16x16 | 1x stride=28  rect=100,1340,16x16 | 1x stride=28  rect=100,1356,16x16 | 1x stride=28  rect=100,1372,16x16 | 1x stride=28  rect=103,1404,16x16 | 1x stride=28  rect=104,16,24x24 | 1x stride=28  rect=104,22,24x24 | 1x stride=28  rect=106,1388,16x16 | 1x stride=28  rect=107,1062,16x16
